well	X	Y	Z	AREA2
18	426245.245	5703941	0.00	Бердянско-Копанское
19	323642.500	5866583	0.00	николаевская
20	309974.764	5871027	0.00	Олимпийское
21	363644.393	5825420	0.00	соболевское
22	358605.456	5797825	0.00	соболевское
23	386230.706	5712866	0.00	черниговская
24	400164.344	5791296	0.00	чкаловская
26	303433.788	5753301	0.00	Борисовская
27	332021.267	5774587	0.00	Дачная
29	390414.801	5723737	0.00	Караванная
30	377911.457	5716215	0.00	Караванная
31	374164.503	5721854	0.00	Караванная
32	341038.913	5804807	0.00	Колганское
33	346653.557	5796885	0.00	Колганское
34	338123.603	5808807	0.00	Колганское
35	356364.007	5809001	0.00	Колганское
36	349358.784	5814764	0.00	Колганское
37	343578.321	5797996	0.00	Колганское
38	385231.364	5709414	0.00	Красноярская
40	312072.138	5728663	0.00	Оренбургская
41	324804.296	5721928	0.00	Оренбургская
42	366559.603	5727334	0.00	Оренбургская
43	353408.137	5728823	0.00	Оренбургская
44	308219.928	5734616	0.00	Оренбургская
45	389362.126	5718610	0.00	Оренбургская
46	337800.116	5730185	0.00	Оренбургская
47	311150.341	5728516	0.00	Оренбургская
48	382765.031	5726301	0.00	Оренбургская
49	320728.172	5732322	0.00	Оренбургская
50	355529.570	5730566	0.00	Оренбургская
51	343241.824	5716516	0.00	Оренбургская
52	359262.605	5723125	0.00	Оренбургская
53	344201.521	5728206	0.00	Оренбургская
54	300707.710	5827490	0.00	Рощепкинская
55	398677.214	5775204	0.00	Сакмарская
56	372022.779	5815021	0.00	Салмышская
57	401933.377	5709823	0.00	Северо-Копанская
63	410806.525	5773088	0.00	Украинская
64	396961.870	5715210	0.00	Чкаловская
65	323890.355	5745810	0.00	Шуваловская
66	315929.014	5766464	0.00	Таращанская
67	315449.100	5769165	0.00	Таращанская
68	373888.399	5775142	0.00	Ольшанская
69	375419.966	5776560	0.00	Ольшанская
71	375393.617	5829563	0.00	Золотовское
72	302897.411	5790609	0.00	Царичанское
73	331420.159	5802593	0.00	Колганское
74	300982.272	5724310	0.00	Оренбургская
