well	X	Y	Z	AREA2
1	673928.848	5811296	0.00	Кодяковское
2	678042.611	5813238	0.00	Кодяковское
3	676748.222	5814750	0.00	Кодяковское
4	687139.497	5813240	0.00	Боголюбовское
5	669792.386	5817880	0.00	восточно-малаховское
6	660628.162	5774520	0.00	Загорское
7	634939.225	5776124	0.00	Загорское
8	654134.900	5778425	0.00	Загорское
9	679553.457	5766969	0.00	Землянская
10	691593.232	5760758	0.00	Землянская
11	680139.265	5827554	0.00	малаховская
12	673145.763	5816340	0.00	малаховская
13	679155.778	5821204	0.00	малаховская
14	672330.800	5811956	0.00	Ольховское
15	674256.398	5814492	0.00	рашкинское
16	666458.054	5768211	0.00	сидоровская
17	624962.138	5711517	0.00	ташлинская
19	726996.873	5868700	0.00	николаевская
20	713003.227	5871988	0.00	Олимпийское
25	692335.666	5812847	0.00	Боголюбовское
26	716247.986	5754113	0.00	Борисовская
28	636045.898	5717424	0.00	Иртекская
39	675412.901	5761579	0.00	Лапасская
40	726884.372	5730264	0.00	Оренбургская
41	740129.792	5724595	0.00	Оренбургская
44	722555.489	5735882	0.00	Оренбургская
47	725977.574	5730042	0.00	Оренбургская
49	735212.688	5734623	0.00	Оренбургская
54	707394.437	5827828	0.00	Рощепкинская
58	685367.909	5818884	0.00	Смоляная
59	689399.309	5826486	0.00	Смоляная
60	643086.891	5778255	0.00	Сорочинский профиль
61	643150.874	5776946	0.00	Сорочинский профиль
62	703381.823	5725884	0.00	Судьбодаровский профиль
65	737256.066	5748329	0.00	Шуваловская
66	727617.833	5768263	0.00	Таращанская
67	726916.608	5770915	0.00	Таращанская
70	660033.434	5774874	0.00	Загорское
72	712634.279	5791252	0.00	Царичанское
73	740073.086	5805559	0.00	Колганское
74	716187.580	5725016	0.00	Оренбургская
75	625086.055	5761287	0.00	Стешановская
